DataSet veri776 loaded
  subset   | # ids | # images
  ---------------------------
  train    | 'Unknown' |    49357
  query    |   200 |     1678
  gallery  |   200 |    11579
Average samples per identity: 63.670
Epoch: [0][63/386], Time 0.603 (1.449), Data 0.208 (1.006), Loss 1.555 (1.529)
Epoch: [0][64/386], Time 0.640 (1.436), Data 0.227 (0.994), Loss 1.553 (1.529)
Epoch: [0][65/386], Time 0.616 (1.424), Data 0.210 (0.982), Loss 1.555 (1.529)
Epoch: [0][66/386], Time 0.613 (1.411), Data 0.220 (0.970), Loss 1.559 (1.530)
Epoch: [0][67/386], Time 0.626 (1.400), Data 0.211 (0.959), Loss 1.556 (1.530)
Epoch: [0][68/386], Time 0.603 (1.388), Data 0.206 (0.948), Loss 1.555 (1.531)
Epoch: [0][69/386], Time 0.611 (1.377), Data 0.214 (0.937), Loss 1.556 (1.531)
Epoch: [0][70/386], Time 0.608 (1.366), Data 0.211 (0.927), Loss 1.555 (1.531)
Epoch: [0][71/386], Time 0.622 (1.355), Data 0.225 (0.917), Loss 1.556 (1.532)
Epoch: [0][72/386], Time 0.638 (1.345), Data 0.211 (0.907), Loss 1.556 (1.532)
Epoch: [0][73/386], Time 0.631 (1.335), Data 0.209 (0.898), Loss 1.557 (1.532)
Epoch: [0][74/386], Time 0.629 (1.326), Data 0.210 (0.888), Loss 1.557 (1.533)
Epoch: [0][75/386], Time 0.607 (1.316), Data 0.212 (0.879), Loss 1.557 (1.533)
Epoch: [0][76/386], Time 0.607 (1.307), Data 0.211 (0.871), Loss 1.554 (1.533)
Epoch: [0][77/386], Time 0.639 (1.298), Data 0.212 (0.862), Loss 1.556 (1.534)
Epoch: [0][78/386], Time 0.608 (1.289), Data 0.212 (0.854), Loss 1.555 (1.534)
